 ('95.111.236.96', 1680) den Gelen : - 25-08-2022 07:15:00 - , rssis:-120.00 , snr:-14.80 , rssis:-118.00, snr:-12.20 , data: QDDaAAEOYnaVAHFgAF77UKv48QyF78bYzwS1PbqVbZ2/LsoryqDFiU61/NBjRhRDqJlx+w== , freq:867.10


 ('95.111.236.96', 1680) den Gelen : - 25-08-2022 07:15:00 - , rssis:-115.00 , snr:-12.00 , rssis:-118.00, snr:-13.20 , data: QDDaAAEOYnaVAHFgAF77UKv48QyF78bYzwS1PbqVbZ2/LsoryqDFiU61/NBjRhRDqJlx+w== , freq:867.10


 ('95.111.236.96', 1680) den Gelen : - 25-08-2022 07:15:01 - , rssis:-111.00 , snr:-16.20 , rssis:-109.00, snr:-17.50 , data: QDDaAAG4aDrvAOQhAHFA2gTE5Y3bZsI23Fm1f6b01B1j7Bg65lqG4FZkLt228IAIVa1tzg== , freq:867.50


 ('95.111.236.96', 1680) den Gelen : - 25-08-2022 07:15:01 - , rssis:-134.00 , snr:-15.50 , rssis:-132.00, snr:-15.80 , data: QDDaAAG4aDrvAOQhAHFA2gTE5Y3bZsI23Fm1f6b01B1j7Bg65lqG4FZkLt228IAIVa1tzg== , freq:867.50


 ('95.111.236.96', 1680) den Gelen : - 25-08-2022 07:15:50 - , rssis:-103.00 , snr:-8.00 , rssis:-104.00, snr:-5.20 , data: QDDaAAHTYdPwAF00AKYXBvByxUl9DIIgIXmQPiwdLeUKcAcOA/+ikC8VSOWvKn7WeCgsVQ== , freq:867.90


 ('95.111.236.96', 1680) den Gelen : - 25-08-2022 07:15:50 - , rssis:-98.00 , snr:0.20 , rssis:-101.00, snr:0.20 , data: QDDaAAHTYdPwAF00AKYXBvByxUl9DIIgIXmQPiwdLeUKcAcOA/+ikC8VSOWvKn7WeCgsVQ== , freq:867.90


 ('95.111.236.96', 1680) den Gelen : - 25-08-2022 07:15:50 - , rssis:-105.00 , snr:-7.20 , rssis:-107.00, snr:-7.00 , data: QDDaAAHTYdPwAF00AKYXBvByxUl9DIIgIXmQPiwdLeUKcAcOA/+ikC8VSOWvKn7WeCgsVQ== , freq:867.90


 ('95.111.236.96', 1680) den Gelen : - 25-08-2022 07:15:50 - , rssis:-108.00 , snr:-16.80 , rssis:-109.00, snr:-13.20 , data: QDDaAAHTYdPwAF00AKYXBvByxUl9DIIgIXmQPiwdLeUKcAcOA/+ikC8VSOWvKn7WeCgsVQ== , freq:867.90


 ('95.111.236.96', 1680) den Gelen : - 25-08-2022 07:18:26 - , rssis:-100.00 , snr:2.50 , rssis:-103.00, snr:3.00 , data: QDDaAAF3MccnAJrkAGrOHD+Q0jvRdDHQoNz2JHZEuoOoQUozTT8NVeGH4e1neMUq07XA2w== , freq:868.50


 ('95.111.236.96', 1680) den Gelen : - 25-08-2022 07:18:26 - , rssis:-118.00 , snr:-14.00 , rssis:-121.00, snr:-13.80 , data: QDDaAAF3MccnAJrkAGrOHD+Q0jvRdDHQoNz2JHZEuoOoQUozTT8NVeGH4e1neMUq07XA2w== , freq:868.50


 ('95.111.236.96', 1680) den Gelen : - 25-08-2022 07:18:26 - , rssis:-117.00 , snr:-16.80 , rssis:-114.00, snr:-15.50 , data: QDDaAAF3MccnAJrkAGrOHD+Q0jvRdDHQoNz2JHZEuoOoQUozTT8NVeGH4e1neMUq07XA2w== , freq:868.50


 ('95.111.236.96', 1680) den Gelen : - 25-08-2022 07:18:41 - , rssis:-125.00 , snr:-11.20 , rssis:-123.00, snr:-12.80 , data: QDDaAAEdN8nJAEq8AGraDEfL4lg9KWHx8RK6NmGQVsmoGv9aGigoLZN9dPxhn0Rr2qHlwA== , freq:868.50


 ('95.111.236.96', 1680) den Gelen : - 25-08-2022 07:24:14 - , rssis:-114.00 , snr:-16.00 , rssis:-111.00, snr:-12.80 , data: QDDaAAEE6jKlALLCABaVsGVXBTiTNIrRMUAxRgMb9TvSk8QTdAs9KujzShDFMovXS0OPGw== , freq:867.10


 ('95.111.236.96', 1680) den Gelen : - 25-08-2022 07:24:14 - , rssis:-114.00 , snr:-17.20 , rssis:-111.00, snr:-15.00 , data: QDDaAAEE6jKlALLCABaVsGVXBTiTNIrRMUAxRgMb9TvSk8QTdAs9KujzShDFMovXS0OPGw== , freq:867.10


 ('95.111.236.96', 1680) den Gelen : - 25-08-2022 07:24:14 - , rssis:-113.00 , snr:-15.00 , rssis:-111.00, snr:-11.50 , data: QDDaAAEE6jKlALLCABaVsGVXBTiTNIrRMUAxRgMb9TvSk8QTdAs9KujzShDFMovXS0OPGw== , freq:867.10


 ('95.111.236.96', 1680) den Gelen : - 25-08-2022 07:26:17 - , rssis:-117.00 , snr:-17.00 , rssis:-118.00, snr:-16.00 , data: QDDaAAG7D7BiAJ8IAOaPwGf5SkksHLv7ntzPjS/+IKzmtEg76UAL7lHy8CpxgCxxiW8DQA== , freq:867.50


 ('95.111.236.96', 1680) den Gelen : - 25-08-2022 07:26:17 - , rssis:-135.00 , snr:-13.50 , rssis:-137.00, snr:-17.50 , data: QDDaAAG7D7BiAJ8IAOaPwGf5SkksHLv7ntzPjS/+IKzmtEg76UAL7lHy8CpxgCxxiW8DQA== , freq:867.50


 ('95.111.236.96', 1680) den Gelen : - 25-08-2022 07:26:17 - , rssis:-96.00 , snr:-13.50 , rssis:-99.00, snr:-17.50 , data: QDDaAAG7D7BiAJ8IAOaPwGf5SkksHLv7ntzPjS/+IKzmtEg76UAL7lHy8CpxgCxxiW8DQA== , freq:867.50


